,Date,Time,Username,Message,sentiment_label
31,2025-02-13,23:22:03,Surjanto,aksi konvoi puluhan motor lintasi kediaman jokowi solo sembari teriak adili jokowi,neutral
32,2025-02-15,21:46:15,Davip Maldian,alangkah doakan prabowo sehat umur pengumuman capres gak etis,negative
33,2025-02-06,15:19:41,Surjanto,alasan,negative
34,2025-02-01,07:39:44,.,alhamdulillah,positive
35,2025-02-02,18:29:07,hitam putih,alhamdulillah,positive
36,2025-02-12,16:40:23,i MANS ulistiyo,alhamdulillah,positive
37,2025-02-13,07:10:33,.,alhamdulillah,positive
38,2025-02-09,08:51:53,Surjanto,alhamdulillah alhamdulillah alhamdulillah kuasa izin allah taala saudarasaudara sebangsa setanah air hancurkan gerombolan jokowi penghianat pendurhaka pembohong penipu berijazah palsu gerombolan penjilat pantatpantat china gerombolan oligarki china biadab gerombolan gerombolan penghianat bangsa negara maafkan lakukan penghancuran pengusiran chinachina biadab wajib hancurkan hancurhancurnya lakukan sosialisasi penjelasan situasi kondisi bangsa negara seterangterangnya rakyat pribumi asli indonesia manapun keluarga saudara tetanggatetangga teman masjid surau mushalah pesantrenpesantren tempattempat keramaian menunggu langkahlangkah keras pimpinan bangsa negara panglima tertinggi presiden prabowo subianto,negative
39,2025-02-14,18:22:26,Asep S.,alhamdulillah koruptor makan uang negara baiknya dihukum mati,negative
40,2025-02-12,11:45:33,Surjanto,alhamdulillah taufiq hidayah allah taala masyarakat banten rakyat pribumi asli indonesia wabih khusus ummat muslim bertekad merebut tanahtanah kuasai oligarki china biadab paksa dholim bantuan rezim pdipjokowi penghianat pendurhaka berijazah palsu gerombolan budakbudak penjilat pantatpantat oligarki china aparatur pemerintahan daerahdesa gerombolan apdesi aparat polisi bpn premanpreman kampung bodoh sampah busuk masyarakat titik darah penghabisan anak cucu cucu keturunan bangsa negara indonesia,negative
41,2025-02-05,02:00:43,SA Ir.Rey,alih perhatian ! ! !,neutral
42,2025-02-12,15:53:07,Syahril Nasution,allahu akbar,positive
43,2025-02-12,08:45:39,Alqud,amalan nisfu syaban,negative
44,2025-02-07,09:40:21,ismid manar53,amanah zaman perang bratayudha perang saudara perang dunia iii perang nuklir,neutral
45,2025-02-13,15:05:53,Iwan Setia Badra Adji,amin allahuma aminbantu viralkantrimakasih,positive
46,2025-02-05,12:27:38,aahoy836,anak perusahaan bumn buka lowongan kerja 28 februari 2025,neutral
47,2025-02-03,11:53:13,Surjanto,andaikan oligarki rusak nkric 1n4 antek 2nya kaya gini sm prabowo,negative
48,2025-02-15,21:46:15,Davip Maldian,aneh prabowo udah presiden,negative
49,2025-02-04,10:24:04,Davip Maldian,anies rasyid baswedan,neutral
50,2025-02-15,19:33:59,aahoy836,antri !,negative
51,2025-02-03,21:28:38,Surjanto,asik nihc dengar pendapat dpr vs mentri agrari tata ruangkepala badan pertanahan nasional bpn bpk nusron wahid niat sekedar sandiwara penguasa menyampingkan proses keadilan hukum pidanannya rakyatlah korban penderita keadilan keras pemilik pemasang pagar laut perampasan tanah paksabrutal pembuat shgb shm aparatur bpn anggota dpr tindakan pidana terulang kesalahan tsb efek jerahnya pelaku bener nusron sarankan anggata dpr mentri tanggungtanggung dalan mengambil keputusan keras pelaku institusi pelaku 2,negative
52,2025-02-08,16:04:03,musashimono1106,aslinyabuzzer pake lgi,negative
53,2025-02-08,12:23:52,..,ass wan kawan tlg fi share grup grup wan kawan,neutral
54,2025-02-01,16:14:39,tonnysetya59,assalamualaikum,positive
55,2025-02-08,06:56:30,___ _   (___),assalamualaikum,positive
56,2025-02-16,18:52:10,___ _   (___),assalamualaikum,positive
57,2025-02-05,16:21:30,Abdul,assalamualaikum warahmatullahi wabarokatuh,neutral
58,2025-02-09,08:34:43,Surjanto,assalamualaikum wrwb,positive
59,2025-02-01,11:54:28,aahoy836,aturan ! pengecer gas elpiji 3 kg wajib daftar pangkalan berlaku 1 februari 2025,neutral
60,2025-02-04,12:30:24,aahoy836,aturan pemilik kartu telkomsel aktif 30,neutral
61,2025-02-06,23:00:09,aahoy836,aturan terbaru bi 2025,neutral
62,2025-02-08,16:45:23,aahoy836,aturan terbaru bi 2025,neutral
63,2025-02-06,11:32:04,aahoy836,aturan terbaru menikah 2025 simak !,neutral
64,2025-02-01,15:42:11,aahoy836,aturan terbaru pasangan menikah orang tua berlaku februari 2025,neutral
65,2025-02-06,22:28:10,aahoy836,aturan terbaru penggantian stnk bpkb kendaraan 2025 simak !,neutral
66,2025-02-06,09:37:27,Surjanto,awak media lsm pelalawan tantang kapolres pelalawan tangkap pelaku galian c desa bukit jaya kecamatan ukui,neutral
67,2025-02-06,22:32:57,UCHY PATOMPO,awas agent apartment vida v8ew makassar rimba link management jagonya naroktika pristitusi,neutral
68,2025-02-12,14:10:42,Niaga Lantabur,awas diklik berbahaya kick,negative
69,2025-02-13,22:22:11,Sri Rahayu,awas isu pengalihan pagar laut tenggelam sj ush ditanggapi,negative
70,2025-02-01,10:37:53,Surjanto,awas jokowie kudeta prabowo rakyat siaga penuh ! ! !,negative
71,2025-02-05,20:00:32,Surjanto,awasi ketat jenderal ! dpr sahkan uu bumn erick thohir ketua dewan pengawas danantara,neutral
72,2025-02-07,21:26:02,ahmadyani08,ayo ikuti polling,neutral
73,2025-02-03,14:04:29,Suhada,ayo temanteman dukung laguku mendengarkannya,neutral
74,2025-02-08,12:22:51,raharjototo590,b i l i n g a l e d i t i o n,neutral
75,2025-02-09,09:07:57,ismid manar53,bacalah tafsir al quran srt ali imran ayat 31 dibawah penuh keimanan,neutral
76,2025-02-08,21:02:33,H. Marlan,bahaya china barang selundupkan ekonomi indonesia ambruk,negative
77,2025-02-12,22:04:25,B@nk'iM@d's,bahaya laten hama coklat ! ! !,neutral
78,2025-02-09,13:11:19,SA Ir.Rey,bahil tenan,negative
79,2025-02-04,17:33:36,H. Marlan,bahlil dipanggil prabowo istana siang bahas gaduh gas lpg 3 kg ?,neutral
80,2025-02-05,20:06:33,Surjanto,bahlil gembosi wibawa presiden prabowo subianto kebijakan lpg 3 kg,neutral
81,2025-02-06,15:32:09,H. Marlan,bahlil khianati prabowo ? diperintah jokowi bikin langka gas ? pengalihan isu pagar laut dibahas ?,neutral
82,2025-02-10,18:21:22,OM GENG,bahlil maaf warga meninggal antrean gas lpg 3 kg,neutral
83,2025-02-08,21:16:50,H. Marlan,bahlil polemik kebijakan lpg 3 kg maaf rakyat,neutral
84,2025-02-15,10:36:26,OM GENG,baiknya omongan bpk,positive
85,2025-02-12,01:12:15,i MANS ulistiyo,bangganya ?,positive
86,2025-02-02,19:34:19,Asp Andy,bangkit kesulitan kemiskinan,negative
87,2025-02-06,16:48:40,Asp Andy,bangkit kesulitan kemiskinan,negative
88,2025-02-14,22:43:46,Munawari,bangsa pilihan tuhan pembunuhnya,negative
89,2025-02-09,17:25:45,H. Marlan,bangsa rakyat indonesia wajib membatalkan perjanjian apapun agen mata 2 inteljen komunis cina rrc pemalsu ijazah oey hong liong joko wei asing pengusaha komunis cina 9 cacing indonesia,neutral
90,2025-02-12,12:01:35,aahoy836,bank indonesia resmi mencabut uang rupiah 2025 tukar bank,neutral
91,2025-02-14,13:24:15,Bang Yusuf || Muhibbin,bank mandiri kunjungi ketua dprd spesialnya,neutral
92,2025-02-03,21:04:55,Surjanto,bantai kapolri biar tau umat islam takut mati takut kelaparan bro ! ! ! ? ? ?,negative
93,2025-02-14,19:03:02,H. Marlan,banten bergolak indonesia bergerak,neutral
94,2025-02-05,09:05:47,Surjanto,banten melawan aguan,neutral
95,2025-02-02,00:34:31,Davip Maldian,bareskrim selidiki polemik pagar laut beber dugaan pemalsuan sertifikat hgb tppu,neutral
96,2025-02-03,18:59:12,aahoy836,batas terbaru masuk sdsmasmk 2025,neutral
97,2025-02-01,10:16:48,Surjanto,bau korupsi pagar laut,negative
98,2025-02-04,22:36:42,Surjanto,bego buzzer balil halal darahnya,negative
99,2025-02-03,19:36:49,H. Marlan,beli orang cina,negative
100,2025-02-03,16:00:10,Aby Ceceng Erdin,bener biadab banget loh,negative
101,2025-02-02,01:20:33,Munawari,bener negara hukum jokodok taat hukum,positive
102,2025-02-16,09:11:34,Surjanto,berbahaya hukum rokok haram !,negative
103,2025-02-03,19:05:25,Asp Andy,berbuat baiklah kerusakan muka bumi,negative
104,2025-02-02,07:44:07,agen British propolis ( mbak Tiya),berdoa aktivitas,positive
105,2025-02-14,20:45:43,Surjanto,berharap prabowo 1 th hancur negeri serius bela rakyat 6 bln bertindak ! ! !,negative
106,2025-02-14,18:45:39,MOMO MAULANA AL TASIKI,berita ?,neutral
107,2025-02-14,08:39:35,Surjanto,berita mengejutkan orang !,negative
108,2025-02-01,16:46:27,Anton,bersalah kejar,negative
109,2025-02-15,23:14:14,aahoy836,bersiaplah ! pemerintah terapkan inovasi camat kepala desa seindonesia berbeda 2024 !,neutral
110,2025-02-11,16:03:30,Nur Guntoro Jatikusumo,besok free webinar menulis cepat ai,neutral
111,2025-02-14,19:25:16,aahoy836,bi umumkan pencabutan uang rupiah 2025 tukarkan,neutral
112,2025-02-06,16:43:21,okeb6782,biadhab iblish jahanam mal unun laknatullah wal malaikat wa nnasi ajmaiin,negative
113,2025-02-05,19:54:44,Pak Haji,bikin gaduhpecatttt beresss tangan jokowi,negative
114,2025-02-14,11:02:29,Bang Yusuf || Muhibbin,bikin haru ketua dprd sampang kejutan hut pimpin rapat paripurna,neutral
115,2025-02-16,02:11:23,OM GENG,bikin kaget aajjaahh,negative
116,2025-02-12,08:15:55,Satrio PAMBUKANING Projo,biodata abdul qohar direktur penyidikan jampidsus kejaksaan agung dirdik jampidsus,neutral
117,2025-02-10,09:04:40,Cantika Dewi,bismillah ready dijual aneka wedang herbal kesehatan wedang uwuh minuman raja 2 zaman nikmati keluarga manfaatnya menjaga imun tubuh mengurangi kolesterolasam urat menjaga kesehatandll 1 pack isi 10 sachetharga 40 ribu ongkir 1 pack 4 pack ongkir minat hub 08532563002 2,neutral
118,2025-02-03,10:52:06,Pujianto,bisnis modal murah mudah hasil melimpah,positive
119,2025-02-15,22:17:41,Kang TeJE,blm abis blm bagus mimpinnyaudah kmaruk presiden,negative
120,2025-02-16,15:42:21,Kang TeJE,bner brrti peduli rakyat nyafixs gperlu berharap kpemerintahapalagi kpresiden hidup rakyat indonesia,positive
121,2025-02-12,08:45:35,Alqud,bocor ! ! ancaman jkw prabowo menteri nyaternyata disiapkan,neutral
122,2025-02-04,14:09:18,Anton,boossampai antrian masyarakat membeli gas,neutral
123,2025-02-14,20:20:34,Surjanto,borgol hukum mati jokowi,negative
124,2025-02-12,13:42:07,aahoy836,bpjs kesehatan bank bca buka lowongan kerja lulusan d3 s1 jurusan,neutral
125,2025-02-07,11:53:06,aahoy836,bpjs kesehatan buka 14 posisi kerja,neutral
126,2025-02-15,17:01:09,aahoy836,bpkb elektronik 2025 hadir tampilan modern mudah diakses dicetak,positive
127,2025-02-01,19:08:28,Davip Maldian,bravo presiden prabowo,positive
128,2025-02-04,12:56:17,aahoy836,brigjen agus kakorlantas polri 2025 gantikan irjen aan suhanan,neutral
129,2025-02-16,11:52:20,H. Marlan,broo,positive
130,2025-02-13,12:13:17,aahoy836,buka lowongan kerja anak perusahaan bumn lamar 15 februari 2025 usia 35 berkesempatan,neutral
131,2025-02-09,19:38:56,Jeki Chan,buka tiktok menonton postingan al imamul mahdii postingan dibagikan via tiktok lite unduh tiktok lite menikmati postingan,neutral
132,2025-02-07,19:30:33,Jeki Chan,buka tiktok menonton postingan b e l postingan dibagikan via tiktok lite unduh tiktok lite menikmati postingan,neutral
133,2025-02-12,12:29:46,Jeki Chan,buka tiktok menonton postingan beritatiktok postingan dibagikan via tiktok lite unduh tiktok lite menikmati postingan,neutral
134,2025-02-12,08:17:47,Satrio PAMBUKANING Projo,buku judule,neutral
135,2025-02-01,11:04:26,Surjanto,bunyinya amunisi gudang amunisi tersembunyi brow,negative
136,2025-02-03,19:31:30,aahoy836,buruan lamar !,negative
137,2025-02-08,05:52:11,Helmy As'ad,burung nan berkicau,positive
138,2025-02-11,08:02:57,Affandy Ridwan,buya h nurhadi husein lc ma,neutral
139,2025-02-05,08:08:45,Affandy Ridwan,buya h zulkarnain umar bsc ma,neutral
140,2025-02-06,22:27:02,UCHY PATOMPO,by karyawan,neutral
141,2025-02-07,10:37:26,Wildan,cahaya dhuha,neutral
142,2025-02-12,11:52:22,Wildan,cahaya dhuha,neutral
143,2025-02-06,19:09:37,ixantc4@gmail.com,cakeeepp,positive
144,2025-02-08,16:08:04,Didik Supriadi,cegah pmk polres loteng bantu edukasi peternak,neutral
145,2025-02-16,09:42:53,Surjanto,ceramah habib hanif alathas kuningan jabar acara ditolak pengikut mama ghufron,neutral
146,2025-02-10,14:18:50,Davip Maldian,cerita jokowi megawati cerita malin kundang minangkabau,neutral
147,2025-02-14,18:55:14,Munawari,cina bentak berkutik,negative
148,2025-02-04,11:17:31,H. Marlan,cina iblis menguasai gas elpigi bangsa 2 dijajah cina kafir komunis wajib jihad usir cina negara,negative
149,2025-02-06,09:46:43,Surjanto,cina menguasainya indonesia pesisir sluruh pantai skarang terbuktidan menguasai pusat kota kota jakarta apartemen perumahan 2 isi cina,neutral
150,2025-02-04,16:07:18,Sri Rahayu,cina penjajah pemilik ny,negative
151,2025-02-12,00:02:39,i MANS ulistiyo,ciptaan 58,neutral
152,2025-02-06,22:33:10,UCHY PATOMPO,ciputra group,neutral
153,2025-02-13,21:50:46,oneisyafei75,claim bonus 100k,neutral
154,2025-02-07,21:13:21,Davip Maldian,coba hitung kk dikasih 2 juta duitnya,neutral
155,2025-02-06,13:24:51,Helmy As'ad,coba renungkan alquran surat arrad ayat 11 berbunyi,neutral
156,2025-02-16,17:25:20,Helmy As'ad,contohnya oligarki diamdiam action membunuh uu kpk 2002 helmy yahya helmy akuntan ndeso,neutral
157,2025-02-12,09:15:03,Supriyadi,copas,negative
158,2025-02-08,23:12:13,H. Marlan,coretan adili jokowi merata kota mulyono stres berat,negative
159,2025-02-01,19:06:52,aahoy836,daftar 30 sekolah kedinasan langsung pns dibuka mei 2025,neutral
160,2025-02-04,16:18:01,aahoy836,daftar 30 sekolah kedinasan langsung pns dibuka mei 2025 cek persyaratannya !,neutral
161,2025-02-01,13:25:20,aahoy836,daftar 7 dokumen tanah berlaku 2026 urus shm terlambat,neutral
162,2025-02-13,13:20:59,aahoy836,daftar kelompok berhak sertifikat tanah gratis ptsl 2025,neutral
163,2025-02-14,13:40:52,aahoy836,daftar pangkalan resmi gas lpg 3 kg warung,neutral
164,2025-02-14,20:46:09,dadan,daftarnya ?,neutral
165,2025-02-03,21:08:46,Surjanto,dagelan politik,negative
166,2025-02-06,16:33:02,Davip Maldian,dasco buka suara isu reshuffle kabinet prabowo,neutral
167,2025-02-05,17:20:52,H. Marlan,dasco vs bahlil skenario kudeta mulyono beban prabowo syahganda,neutral
168,2025-02-10,21:50:18,aahoy836,dear ketua rtrw,neutral
169,2025-02-13,16:26:22,aahoy836,dear pelanggan telkomsel seindonesia info bermanfaat,neutral
170,2025-02-01,18:05:23,aahoy836,dear pengurus osis smpsma indonesia kejutan spesial pemerintah simak informasinya !,neutral
171,2025-02-08,21:02:34,H. Marlan,demonstrasi adili jokowi marak daerah 2,neutral
172,2025-02-05,11:13:27,ismid manar53,dengarkan simaklah 2 pernyataan sikap nelayan kholid panglima masyarakat banten berani takut gentar menghadapi ancanan oligarki pengkhianat 2 menjual pantai laut berani bongkar pagar laut daerah pantai tanggerang pantai nkri ! !,negative
173,2025-02-09,00:51:18,Davip Maldian,desakan pemerintah presiden ruu perampasan aset disyahkan uu,neutral
174,2025-02-05,20:00:07,Surjanto,diamuk massa ! bahlil disemprot warga sidak pangkalan gas tangerang pakai logika bikin susah !,neutral
175,2025-02-03,08:43:28,Surjanto,dibiarin ! nusron bongkar akalakalan pengusaha sawit serobot lahan negara 194 perusahaan sawit babat hutan 1 juta ha ilegal !,negative
176,2025-02-07,08:39:59,www.asyifaherbalcenter.com,dicari ! orang tua asuh membahagiakan santri santriyah penghafal quran,neutral
177,2025-02-03,08:16:48,Suparno ESEMJE,dipecat hormat dihukum berat atasannya terlibat,negative
178,2025-02-09,00:51:17,Davip Maldian,diragukan,negative
179,2025-02-13,23:04:23,OM GENG,diskriminasi rs medistra jakarta melarang dokter pegawai rumah sakit ber hijab ? ? ?,negative
180,2025-02-05,19:29:59,Davip Maldian,diskusi aniessaid didu oligarki banjir dukungan warganet merdeka !,neutral
181,2025-02-02,17:09:49,~,ditangkap mulyono,neutral
182,2025-02-04,21:15:32,aahoy836,dokumen tanah wajib diubah shm cek jenisnya,neutral
183,2025-02-14,08:14:49,Surjanto,dosa dibalut kasih sayang,negative
184,2025-02-08,13:33:19,Bang Yusuf || Muhibbin,dpp ormas gaib inspektorat sampang audit proyek bermasalah,neutral
185,2025-02-13,18:00:40,Bang Yusuf || Muhibbin,dprd sampang gelar paripurna penetapan bupatiwakil bupati terpilih,neutral
186,2025-02-01,20:05:55,aahoy836,dukcapil ! ktp digital 2025 langsung hp,neutral
187,2025-02-06,20:12:25,Davip Maldian,dukun politik,negative
188,2025-02-14,10:22:40,Davip Maldian,dukun politik,negative
189,2025-02-07,00:13:15,Davip Maldian,dukun politik penasehat politik peramal,neutral
190,2025-02-13,19:09:19,Munawari,dungu dak tau malu,negative
191,2025-02-02,01:42:25,raharjototo590,e d i s i b a h a s a i n d o n e s i a bersambung,neutral
192,2025-02-01,13:21:00,B@nk'iM@d's,eksekusi tanah sengketa tambun selatan rumahrumah warga cluster setia mekar residence 2,neutral
193,2025-02-11,10:37:59,OM GENG,enak 2 ontel bom,positive
194,2025-02-07,18:13:42,OM GENG,endingx emak 2 sen kanan belok kiri,neutral
195,2025-02-16,15:59:19,Kang TeJE,eneg dengernya udah pngen muntah,negative
196,2025-02-02,02:31:31,Davip Maldian,fakta mengungkap kebenaran tegaknya hukum keadilan melawan oligarki menjaga kedaulatan nkri,neutral
197,2025-02-07,02:42:36,Surjanto,faktafakta lokasi buktikan ceritacerita penjelasan masyarakat presiden prabowo subianto tindakantindakan cepat keras pihakpihak terlibat pemilik pemasang pagar laut desa keramat kecamatan pakuaji desa desa masyarakat nelayan resah terganggu kehidupan hariharinya tau berbuat mempertahankan tanahtanah sumber mata pencariannya cepat terstruktur masif bantuan aparatur daerah aparat semoga allah taala senantiasa pertolongan bimbingan kekuatankesehatan presiden prabowo subianto menjalankan amanah rakyat pribumi asli indonesia,neutral
198,2025-02-16,09:40:27,Surjanto,firdaus oiwobo ngaku gunung parung luasnya 4 ribu hektare,neutral
199,2025-02-12,17:17:39,yusri,fitrahnya agama yesus isa almasih agama islam,neutral
200,2025-02-10,23:19:15,Davip Maldian,full aliansi rakyat bergerak jokowi 100 dilahirkan pdip oligarki masyarakat tau !,negative
201,2025-02-11,14:35:58,Coway,gabung chat grup trading kripto btcusdt menghasilkan profit konsisten jam 1300 1930 wib,neutral
202,2025-02-09,08:28:30,Surjanto,gabungan jawarajawara banten memburu premanpreman pk 2 wajah wajahnya dikenali klik,neutral
203,2025-02-04,13:23:19,aahoy836,gaji ketua rtrw 2025,neutral
204,2025-02-03,09:08:59,Surjanto,gak ? dedi mulyadi petani menangis pupuk ! masyarakat !,negative
205,2025-02-09,11:21:46,Davip Maldian,gak terkejut,positive
206,2025-02-03,11:14:05,Alqud,ganas belanda penjajahan gaya pik 2 banten,negative
207,2025-02-10,08:59:51,Davip Maldian,ganefri eksekusi saran pengadilan kampus stih padang stisip padang dirobohkan,neutral
208,2025-02-11,09:13:20,Zaki BjR,garong terang 2an,negative
209,2025-02-04,18:05:20,Dessy,gas elpiji hilang bensin shell menghilang,neutral
210,2025-02-13,23:36:46,Kanu Ragan,gas pol,neutral
211,2025-02-02,18:47:41,Zaki BjR,gerah klau berbohong,negative
212,2025-02-04,18:05:37,Dessy,gerangan,negative
213,2025-02-13,22:43:06,OM GENG,gereja 2 inggris bnyk tinggal jemaatnya jadikan masjid,neutral
214,2025-02-08,09:36:36,H. Marlan,gibran was was ! ! dimakzulkan dialami wapres filipina,neutral
215,2025-02-14,16:42:04,M. A. Ungggul B. M. I,gilee ps 08 bikin presiden erdogan bernyanyi menjelang makan siang istana bogor kemaren,positive
216,2025-02-15,18:36:48,H. Marlan,gimana sdah harapkandari wowo,negative
217,2025-02-14,10:18:04,Kang TeJE,gmau melawan melukai guru nyalebih melukai memboongi rakyat,negative
218,2025-02-04,09:31:38,Munawari,grup tele undercover,neutral
219,2025-02-16,18:58:08,Munawari,gue seneng bunuh wowo jokodok,positive
220,2025-02-12,19:34:25,Surjanto,gugatan pilkada mk,neutral
221,2025-02-08,01:15:34,OM GENG,guru ipb dilaporkan polisi gr2 hitung uang korupsi,negative
222,2025-02-15,08:26:27,Dwi Sunarsitin,hadiah hamba istimewa,positive
223,2025-02-02,11:31:42,Suhada,halo teman teman,neutral
224,2025-02-10,13:07:48,aahoy836,harga gas elpiji 3 kg 55 kg 12 kg resmi ditetapkan daerah,neutral
225,2025-02-12,01:06:19,i MANS ulistiyo,hasil curang 58akn ribut trus situasi konoha,negative
226,2025-02-08,18:05:04,,hasilkan income rumah jago jualan pemula !,positive
227,2025-02-01,01:12:54,OM GENG,hati 2 situasi krisis bnyk penipuan ternsuk jual beli online,negative
228,2025-02-04,18:21:49,musashimono1106,hebatnya pemerintah sekaranguntuk menutupi pagar lautgas dibikin susahbiar masyarakat fokus pagar lautpengalihanisu,negative
229,2025-02-12,16:38:32,i MANS ulistiyo,hebatnyawajar bangsa tua umurnya,negative
230,2025-02-16,18:01:46,H. Marlan,hidup jokowi,positive
231,2025-02-15,13:36:50,Wildan,hikmah dhuha,positive
232,2025-02-10,22:26:59,Wildan,hikmah malam,positive
233,2025-02-15,01:42:52,Wildan,hikmah malam,positive
234,2025-02-15,18:57:46,Wildan,hikmah petang,positive
235,2025-02-10,14:42:37,Wildan,hikmah siang,positive
236,2025-02-11,19:49:28,Wildan,hikmah sore,positive
237,2025-02-13,19:08:32,Wildan,hikmah sore,positive
238,2025-02-09,09:01:31,Surjanto,hilang makhluk menjijik an takut mati kelaparan karungi ! ! !,negative
239,2025-02-13,13:58:23,aahoy836,himbauan orangtua siswa sd smp smasederajat silahkan cek nama anakmu,neutral
240,2025-02-04,11:29:10,aahoy836,himbauan pemilik kendaraan,neutral
241,2025-02-03,15:42:48,Aby Ceceng Erdin,hubungannya mulyono udah lengser ? hrs ngamuk ?,negative
242,2025-02-07,03:28:03,Munawari,idiot fufufafa masuk kubur,negative
243,2025-02-11,13:30:46,Kang TeJE,ikn,positive
244,2025-02-15,18:41:48,Surjanto,ikuti video slesai ! swear kerreen banget solutif kaum intelektual kampus aktivis perubahan pemerintah wakil rakyat isak kasi solusi genial aplikatif brtyas handoko,neutral
245,2025-02-12,16:35:23,i MANS ulistiyo,indah nyamannya negara islam,positive
246,2025-02-07,18:30:27,OM GENG,india jualan emang kemproh orangnya,negative
247,2025-02-12,00:03:55,i MANS ulistiyo,individu cerdasbnyak pengalaman,positive
248,2025-02-06,14:09:01,aahoy836,indofood fortuna makmur buka 9 lowongan kerja daftar 1 april 2025,neutral
249,2025-02-10,05:10:58,Surjanto,indonesia mewaspadai daerahnya 2 caplok cina 2 sipit kafir komunis penjajah ! ! !,negative
250,2025-02-16,21:27:16,Fitri Refa,indonesia tenggelam,negative
251,2025-02-03,08:44:26,Surjanto,industri wajib beli petani ! impor singkong dilarang izin kementan harga minimal rp1350 kg,neutral
252,2025-02-06,13:35:28,aahoy836,info !,neutral
253,2025-02-03,17:21:52,aahoy836,info terbaru pemilik rekening cimb niaga permata bca bni bri mandiri !,neutral
254,2025-02-14,18:57:24,aahoy836,informasi penerima kip kuliah seindonesia mohon didengarkan,neutral
255,2025-02-09,08:25:04,Surjanto,informasi siaran pers,neutral
256,2025-02-10,22:03:26,H. Marlan,injakinjak meja razman bikin onar ruang sidang firdaus resmi dipecat kai sk dicabut,neutral
257,2025-02-10,19:58:03,aahoy836,inovasi !,positive
258,2025-02-14,02:03:14,OM GENG,inspirasi malam,positive
259,2025-02-13,07:14:55,Surjanto,institusi polri sorotan rakyat indonesia,neutral
